iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
MEX,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,21731.19777,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.777571
MEX,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,116308486.5,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.777571
MEX,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,117993063.145485,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.777571
MEX,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,119205949.45416,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.777571
MEX,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,4060.766445,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.777571
MEX,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,26402.86745,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.136466
MEX,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,141333494.10000002,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.136466
MEX,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,143380471.11263502,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.136466
MEX,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,144854096.98521602,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.136466
MEX,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,4934.704619,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.136466
